"Site.Name","observer","observer_no","date","obs_time","phone_location","species","waypoint_ID","x_observer","y_observer","left_or_right","transect_bearing","right_angle","bearing_to_animal","distance_to_animal","distance_on_transect","obs_type","color_morph","behavior","tree_species","n_animals","comments","seen_by_obs1","seen_by_obs2","seen_by_both","TAXON_ID","SCIENTIFIC_NAME","X-coordinate (easting or longitude)","Y-coordinate (easting or longitude)","obs_n"
"ARI BBRR 34","BW",1,"22/02/2022","22:32:00","-37.2373883,148.952655","Mountain Brush-tailed Possum","","",NA,"right",80,"Yes",NA,NA,350,"s","grey","idle","Eucalyptus denriculata ",1,"",1,0,NA,11115,"Trichosurus cunninghami",148.952655,37.2373883,175
"ARI BBRR 34","BW",1,"22/02/2022","22:07:00","-37.23798,148.9508067","Mountain Brush-tailed Possum","","",NA,"left",354,"Yes",NA,NA,130,"s","grey","idle","Eucalyptus fastigata ",1,"",1,0,NA,11115,"Trichosurus cunninghami",148.9508067,37.23798,176
"ARI BBRR 34","BW",1,"22/02/2022","22:02:00","-37.23823,148.95066","Mountain Brush-tailed Possum","","",NA,"left",354,"Yes",NA,NA,90,"s","grey","idle","Eucalyptus fastigata ",1,"",1,0,NA,11115,"Trichosurus cunninghami",148.95066,37.23823,177
"ARI BBRR 34","BW",1,"22/02/2022","21:49:00","-37.23868,148.950595","Mountain Brush-tailed Possum","","",NA,"right",354,"Yes",NA,NA,53,"s","grey","idle","Eucalyptus fastigata ",1,"",1,0,NA,11115,"Trichosurus cunninghami",148.950595,37.23868,178
"ARI BBRR 08","AS",1,"11/02/2022","11:45:00","-37.20958,147.9384083","Mountain Brush-tailed Possum","","",NA,"right",270,"Yes",NA,100,100,"h","grey","idle","",1,"",1,0,NA,11115,"Trichosurus cunninghami",147.9384083,37.20958,179
"ARI BBRR 08","AS",1,"11/02/2022","0:03:00","-37.2095533,147.9396533","Southern Greater Glider","ari bbr 08 gg1","37.209726",147.939772,"left",270,"Yes",NA,50,350,"s","grey","idle","Eucalyptus delegatensis ",1,"",1,0,NA,11133,"Petauroides volans",147.9396533,37.2095533,180
"ARI BBRR 06","AS",2,"11/02/2022","22:04:00","-37.26749,147.98697","Southern Greater Glider","ari bbr06 gg1","37.2674",147.987027,"right",115,"Yes",NA,30,250,"s","grey","idle","Eucalyptus radiata ",1,"",0,1,NA,11133,"Petauroides volans",147.98697,37.26749,181
"ARI BBRR 06","BW",1,"11/02/2022","22:02:00","-37.2686117,147.98935","Mountain Brush-tailed Possum","","",NA,"right",115,"Yes",NA,12,490,"s","grey","idle","Acacia ",1,"",1,0,NA,11115,"Trichosurus cunninghami",147.98935,37.2686117,182
"ARI BBRR 06","AS",2,"11/02/2022","21:59:00","-37.267165,147.9864517","Yellow-bellied Glider","","",NA,"left",115,"Yes",NA,NA,215,"h","grey","idle","Eucalyptus ",1,"",0,0,0,11136,"Petaurus australis",147.9864517,37.267165,183
"ARI BBRR 06","BW",1,"11/02/2022","21:58:00","-37.2682238,147.9887076","Mountain Brush-tailed Possum","","",NA,"left",115,"Yes",NA,15,410,"s","grey","idle","Acacia",1,"",1,0,NA,11115,"Trichosurus cunninghami",147.9887076,37.2682238,184
"ARI BBRR 06","BW",1,"11/02/2022","21:52:00","-37.2677683,147.9878833","Sugar Glider","","",NA,"left",115,"Yes",NA,100,337,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11138,"Petaurus breviceps",147.9878833,37.2677683,185
"ARI BBRR 06","BW",1,"11/02/2022","21:46:00","-37.2673733,147.9866567","Southern Greater Glider","ARI BBRR 6 1","37.267137",147.986505,"left",115,"Yes",NA,15.2,215,"s","brown","idle","Eucalyptus radiata",1,"",1,0,NA,11133,"Petauroides volans",147.9866567,37.2673733,186
"ARI BBRR 06","BW",1,"11/02/2022","21:01:00","-37.2658967,147.9861083","Yellow-bellied Glider","","",NA,"right",205,"Yes",NA,100,5,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11136,"Petaurus australis",147.9861083,37.2658967,187
"ARI BBRR 06","BW",1,"11/02/2022","21:01:00","-37.2657917,147.985995","Southern Boobook","","",NA,"right",205,"Yes",NA,100,5,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10242,"Ninox boobook",147.985995,37.2657917,188
"ARI BBRR 14","BW",1,"9/02/2022","23:09:00","-37.3694433,147.739455","Southern Greater Glider","ARI BBRR 14 4","37.369463",147.739984,"left",335,"No",19,26.5,505,"s","brown","idle","Eucalyptus obliqua ",2,"second animal on separate tree",1,0,NA,11133,"Petauroides volans",147.739455,37.3694433,189
"ARI BBRR 14","AS",2,"9/02/2022","22:58:00","-37.3713433,147.7400733","Southern Greater Glider","ari bbr 14 gg4","37.371115",147.740565,"left",335,"Yes",NA,46,300,"s","grey","idle","Eucalyptus delegatensis ",1,"",1,1,1,11133,"Petauroides volans",147.7400733,37.3713433,190
"ARI BBRR 14","AS",2,"9/02/2022","22:37:00","-37.3718133,147.7418817","Southern Greater Glider","ari bbr 14 gg3","37.371847",147.741814,"right",245,"Yes",NA,22.9,125,"s","grey","idle","Eucalyptus cypellocarpa",1,"",0,1,NA,11133,"Petauroides volans",147.7418817,37.3718133,191
"ARI BBRR 14","BW",1,"9/02/2022","22:36:00","-37.3711033,147.7410683","Southern Boobook","ARI BBRR 14 3","37.371161",147.7404049,"left",335,"Yes",NA,200,310,"h","brown","idle","",1,"",1,0,NA,10242,"Ninox boobook",147.7410683,37.3711033,192
"ARI BBRR 14","BW",1,"9/02/2022","22:32:00","-37.37132,147.7405467","Southern Greater Glider","ARI BBRR 14 3","37.371161",147.7404049,"left",335,"Yes",NA,45.2,310,"s","brown","idle","Eucalyptus delegatensis",1,"",1,1,1,11133,"Petauroides volans",147.7405467,37.37132,193
"ARI BBRR 14","AS",2,"9/02/2022","22:31:00","-37.3718917,147.7420683","Southern Greater Glider","ari bbr 14 gg2","37.371997",147.741818,"left",245,"Yes",NA,56,115,"s","black","moving","Eucalyptus ",1,"",0,1,NA,11133,"Petauroides volans",147.7420683,37.3718917,194
"ARI BBRR 14","BW",1,"9/02/2022","22:24:00","-37.3715617,147.74088","Southern Greater Glider","ARI BBRR 14 2","37.371421",147.740638,"right",335,"Yes",NA,34.8,266,"s","grey","idle","Eucalyptus radiata ",1,"",1,0,NA,11133,"Petauroides volans",147.74088,37.3715617,195
"ARI BBRR 14","AS",2,"9/02/2022","22:02:00","-37.37175,147.7729967","Southern Greater Glider","ari bbr 14 gg1","37.371718",147.742792,"left",245,"Yes",NA,23,30,"s","grey","idle","Eucalyptus cypellocarpa",1,"",1,1,1,11133,"Petauroides volans",147.7729967,37.37175,196
"ARI BBRR 14","BW",1,"9/02/2022","21:54:00","-37.3716867,147.7429517","Southern Greater Glider","ARI BBRR 14 1","37.371812",147.742752,"left",245,"Yes",NA,12.4,32,"s","brown","idle","Eucalyptus obliqua ",1,"",1,1,1,11133,"Petauroides volans",147.7429517,37.3716867,197
"ARI BBRR 14","BW",1,"9/02/2022","21:51:00","-37.3718483,147.742945","Yellow-bellied Glider","","",NA,"right",245,"Yes",NA,100,15,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11136,"Petaurus australis",147.742945,37.3718483,198
"ARI BBRR 03","AS",2,"29/01/2022","22:08:00","-37.3681017,147.553345","Eastern Ring-tailed Possum","","",NA,"left",240,"Yes",NA,25,245,"s","grey","idle","Eucalyptus ",1,"",0,1,NA,11129,"Pseudocheirus peregrinus",147.553345,37.3681017,199
"ARI BBRR 03","AS",2,"29/01/2022","21:51:00","-37.3692617,147.55428","Mountain Brush-tailed Possum","","",NA,"left",240,"Yes",NA,10,130,"s","grey","idle","Eucalyptus ",1,"",1,0,NA,11115,"Trichosurus cunninghami",147.55428,37.3692617,200
"ARI BBRR 03","AS",2,"29/01/2022","21:47:00","-37.3694433,147.5539217","Mountain Brush-tailed Possum","","",NA,"left",240,"Yes",NA,10,130,"s","grey","idle","acacia ",2,"",0,1,NA,11115,"Trichosurus cunninghami",147.5539217,37.3694433,201
"ARI BBRR 03","KH",1,"29/01/2022","21:46:00","-37.3680133,147.553515","Sugar Glider","","",NA,"right",290,"Yes",NA,NA,450,"s","grey","moving","Eucalyptus ",1,"",1,0,NA,11138,"Petaurus breviceps",147.553515,37.3680133,202
"ARI BBRR 12","KH",1,"28/01/2022","0:11:00","-37.35971,147.942135","Sugar Glider","","",NA,"right",0,"Yes",NA,NA,480,"s","grey","idle","Eucalyptus ",1,"",1,0,NA,11138,"Petaurus breviceps",147.942135,37.35971,203
"T15P2","BW",1,"18/12/2021","23:02:00","-37.7061692,148.470391","Sugar Glider","","",NA,"right",12,"Yes",NA,150,490,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11138,"Petaurus breviceps",148.470391,37.7061692,204
"T15P2","KH",2,"18/12/2021","22:52:00","-37.6455006,148.2177512","Tawny Frogmouth","","",NA,"left",12,"Yes",NA,NA,290,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10313,"Podargus strigoides",148.2177512,37.6455006,205
"T15P2","KH",2,"18/12/2021","22:42:00","-37.6455006,148.2177512","Southern Boobook","","",NA,"right",12,"Yes",NA,NA,170,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10242,"Ninox boobook",148.2177512,37.6455006,206
"T15P2","BW",1,"18/12/2021","22:28:00","-37.7061692,148.470391","Australian Owlet-nightjar","","",NA,"right",12,"No",240,25,162,"s","grey","idle","Eucalyptus ",1,"",1,0,NA,10317,"Aegotheles cristatus",148.470391,37.7061692,207
"T15P2","BW",1,"18/12/2021","22:16:00","-37.7061692,148.470391","Tawny Frogmouth","","",NA,"right",12,"Yes",NA,150,95,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10313,"Podargus strigoides",148.470391,37.7061692,208
"T1P5","BW",2,"17/12/2021","23:25:00","-37.7059101,148.4706298","Tawny Frogmouth","","",NA,"right",180,"Yes",NA,150,262,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10313,"Podargus strigoides",148.4706298,37.7059101,209
"T1P5","BW",2,"17/12/2021","23:02:00","-37.7059101,148.4706298","Tawny Frogmouth","","",NA,"right",0,"Yes",NA,NA,66,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10313,"Podargus strigoides",148.4706298,37.7059101,210
"T1P1","BW",2,"17/12/2021","22:14:00","-37.7059101,148.4706298","Southern Boobook","","",NA,"right",88,"Yes",NA,200,400,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10242,"Ninox boobook",148.4706298,37.7059101,211
"T1P1","KH",1,"17/12/2021","21:38:00","-37.7061608,148.4703934","Southern Boobook","","",NA,"right",178,"No",NA,NA,230,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10242,"Ninox boobook",148.4703934,37.7061608,212
"T1P1","BW",2,"17/12/2021","21:34:00","-37.7059101,148.4706298","Southern Boobook","","",NA,"right",178,"Yes",NA,150,0,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10242,"Ninox boobook",148.4706298,37.7059101,213
"T15P4","BW",1,"15/12/2021","22:15:00","-37.7061547,148.4703897","Tawny Frogmouth","","",NA,"left",336,"Yes",NA,100,350,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10313,"Podargus strigoides",148.4703897,37.7061547,214
"T15P4","KH",2,"15/12/2021","22:03:00","-37.6257291,148.2187131","Tawny Frogmouth","","",NA,"right",66,"Yes",NA,NA,123,"h","grey","idle","Eucalyptus ",1,"",0,1,NA,10313,"Podargus strigoides",148.2187131,37.6257291,215
"T15P4","KH",2,"15/12/2021","21:52:00","-37.6257291,148.2187131","Yellow-bellied Glider","","",NA,"left",66,"Yes",NA,NA,50,"h","grey","idle","Eucalyptus ",1,"",0,1,NA,11136,"Petaurus australis",148.2187131,37.6257291,216
"T15P4","BW",1,"15/12/2021","21:45:00","-37.7061547,148.4703897","Tawny Frogmouth","","",NA,"right",66,"Yes",NA,100,110,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,10313,"Podargus strigoides",148.4703897,37.7061547,217
"T15P4","BW",1,"15/12/2021","21:42:00","-37.7061547,148.4703897","Yellow-bellied Glider","","",NA,"left",66,"Yes",NA,100,89,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11136,"Petaurus australis",148.4703897,37.7061547,218
"T15P1","BW",1,"14/12/2021","22:12:00","-37.7059035,148.4706381","Tawny Frogmouth","","",NA,"left",140,"Yes",NA,NA,490,"s","grey","idle","Eucalyptus ",1,"",1,0,NA,10313,"Podargus strigoides",148.4706381,37.7059035,219
"T15P1","KH",2,"14/12/2021","21:35:00","-37.7929855,148.1865259","Yellow-bellied Glider","","",NA,"left",50,"Yes",NA,NA,8,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11136,"Petaurus australis",148.1865259,37.7929855,220
"T15P1","BW",1,"14/12/2021","21:23:00","-37.7059035,148.4706381","Yellow-bellied Glider","","",NA,"left",50,"Yes",NA,150,18,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11136,"Petaurus australis",148.4706381,37.7059035,221
"T15P5","BW",1,"13/12/2021","23:40:00","-37.7660526,148.1787724","Sugar Glider",NA,NA,NA,"left",275,"Yes",NA,100,500,"h","grey","idle","Eucalyptus ",1,"",1,0,NA,11138,"Petaurus breviceps",148.1787724,37.7660526,222
"T15P5","BW",1,"13/12/2021","23:10:00","-37.7660526,148.1787724","Common Brush-tailed Possum",NA,NA,NA,"left",275,"No",269,20,383,"s","grey","idle","Eucalyptus ",2,"",1,0,NA,11113,"Trichosurus vulpecula",148.1787724,37.7660526,223
"T15P5","BW",1,"13/12/2021","23:05:00","-37.7660526,148.1787724","Dingo & Dog (feral)",NA,NA,NA,"right",275,"Yes",NA,100,358,"h","black","idle","Eucalyptus ",2,"",1,0,NA,11531,"Canis familiaris",148.1787724,37.7660526,224
"T15P5","BW",1,"13/12/2021","22:55:00","-37.7660526,148.1787724","Southern Greater Glider","T15P5-2","37.7761",148.180631,"left",275,"Yes",NA,27.6,315,"s","brown","idle","Eucalyptus obliqua ",2,"",1,0,NA,11133,"Petauroides volans",148.1787724,37.7660526,225
"T15P5","BW",1,"13/12/2021","22:41:00","-37.7660526,148.1787724","Southern Boobook",NA,NA,NA,"left",275,"Yes",NA,100,260,"h","black","idle","Eucalyptus ",1,"",1,0,NA,10242,"Ninox boobook",148.1787724,37.7660526,226
"T15P5","BW",1,"13/12/2021","22:32:00","-37.7660526,148.1787724","Tawny Frogmouth",NA,NA,NA,"right",275,"Yes",NA,50,300,"h","black","idle","Eucalyptus ",1,"",1,0,NA,10313,"Podargus strigoides",148.1787724,37.7660526,227
"T15P5","KH",2,"13/12/2021","22:16:00","-37.7660526,148.1787724","Sugar Glider","T15P5-1","37.776609",148.18252,"left",185,"Yes",NA,10,139,"s","grey","idle","Eucalyptus obliqua ",1,"",1,1,1,11138,"Petaurus breviceps",148.1787724,37.7660526,228
