observers,transectID,plotID,date,species,observation,comments,count,waypoint,location,Side of transect,distance,bearing,tree,height,photo number
"BW, DT",T1,3,20-01-19 22:52,Yellow-bellied glider,Vocal ,,1,,"-37.6228243,148.262934",Left,,,,,
"BW, DT",T1,5,20-01-19 23:40,Southern Boobook,Vocal ,,1,,"-37.6763113,148.3095034",Left,,,,,
"BW, DT",T1,1,21-01-19 0:04,Southern Boobook,Vocal ,,2,,"-37.6756923,148.3133287",Left,,,,,
"BW, DT",T1,1,21-01-19 0:44,Southern Boobook,Vocal ,,1,,"-37.6756753,148.3190736",Left,,,,,
"BW, DT",T1,1,21-01-19 0:44,Sugar glider,Vocal ,,1,,"-37.6756753,148.3190736",Right,,,,,
"BW, DT",T1,3,20-01-19 22:52,Sugar glider,Vocal ,,1,,"-37.6228243,148.262934",Right,,,,,
"BW, DT",T2.5,1,19-01-19 23:47,Sugar glider,Vocal ,,1,,"-37.5855637,148.7701292",Left,,,,,
"BW, DT",T1.5,3,21-01-19 21:26,Southern Boobook,Vocal ,,2,,"-37.5976604,148.1937947",Right,,,,,
"BW, DT",T1.5,3,21-01-19 21:55,Ringtail possum,Vocal ,,1,,"-37.5958157,148.1897607",Right,,,,,
"BW, DT",T1,4,21-01-19 23:25,Sugar glider,Vocal ,,1,,"-37.6161714,148.2409941",Left,,,,,
"BW, DT",T1,4,21-01-19 23:26,Southern Boobook,Vocal ,,1,,"-37.6161851,148.2409022",Right,,,,,
"BW, DT",T1,4,21-01-19 23:40,Owlet nightjar ,Visual,Owlet nightjar ,1,,"-37.6177977,148.2397893",Left,,,,,
"BW, DT",T1,4,22-01-19 0:09,Mt brushtail possum,Visual,,1,,"-37.6186755,148.2352585",Left,10,160,Eucalyptus cypellocarpa ,15,
"BW, DT",T1,4,22-01-19 0:23,Southern Boobook,Vocal ,,1,,"-37.6191664,148.2345085",Right,,,,,
"BW, DT",T1.5,4,22-01-19 0:42,Southern Boobook,Vocal ,,1,,"-37.6239963,148.2248567",Left,,,,,
"BW, DT",T1.5,4,22-01-19 0:42,Sugar glider,Vocal ,,1,,"-37.6240185,148.224628",Left,,,,,
"BW, DT",T1.5,4,22-01-19 0:58,Sugar glider,Vocal ,,1,,"-37.6246423,148.2225951",Left,,,,,
"BW, DT",T1.5,4,22-01-19 1:18,Sugar glider,Visual,,1,,"-37.625491,148.220373",Left,40,150,Eucalyptus consideniana ,10,
"BW, DT",T1.5,4,22-01-19 1:34,Yellow-bellied glider,Vocal ,,1,,"-37.6258978,148.2186678",Right,,,,,
"BW, DT",T1.5,4,22-01-19 1:37,Powerful owl,Vocal ,,1,,"-37.6260835,148.2177179",Right,,,,,
"BW, DT",T1.5,4,22-01-19 1:43,Mt brushtail possum,Visual,,1,,"-37.6260997,148.2170522",Left,10,210,,0,
"BW, DT",T1.5,4,22-01-19 1:47,Sugar glider,Visual,,1,,"-37.6263095,148.2173116",Right,50,350,Spotted gum,40,
"BW, DT",T1.5,4,22-01-19 1:54,Powerful owl,Visual,,1,,"-37.6268401,148.2165421",Left,60,200,Eucalyptus cypellocarpa ,35,
"BW, DT",T1.5,2,22-01-19 21:41,Southern Boobook,Vocal ,,1,,"-37.6439106,148.2140822",Right,,,,,
"BW, DT",T1.5,2,22-01-19 21:51,Sugar glider,Visual,,1,,"-37.6448439,148.2150777",Left,40,300,Eucalyptus consideniana ,35,
"BW, AS, SL, ES",T1,2,25-04-19 21:16,Sugar glider,Visual,gliding across the road,1,,"-37.6257228,148.2918185",Left,18,1,Eucalyptus sieberi ,25,
"BW, AS, SL, ES",T1,2,25-04-19 21:19,Feral dog,Vocal ,feral dog,2,,"-37.6256527,148.2919247",Right,100,,,,
