"site_ID","sampling_point","quarter","treeID","species","dead_alive","burnt","charring","distance","bearing","dbh","height","crown_NS","crown_EW","layer","age_class","hollows","hollow_num","hollow_height","hollow_size","ybg_signs","reproductive","leaf_sample","epicormic_sample","bag_ID","comments","plot","gg_pres","n_gg","firesev","elevation","aspect","slope","mid_understory_density","layers","foliagecover","c","total_n","AHMI","cond","et0","hn","rain","vpd","FT","ph","slope.1","TWI","fires","NDVI","climsuit","ASC_O","ASC_SO","x","y","Colour","Gravel","Texture","Ammonium.Nitrogen","Nitrate.Nitrogen","Phosphorus.Colwell","Potassium.Colwell","Sulfur","Organic.Carbon","Conductivity","pH.Level..CaCl2.","pH.Level..H2O.","DTPA.Copper","DTPA.Iron","DTPA.Manganese","DTPA.Zinc","Exc..Aluminium","Exc..Calcium","Exc..Magnesium","Exc..Potassium","Exc..Sodium","Boron.Hot.CaCl2","Total.Nitrogen","Total.Carbon","mean_leaf_n","mean_leaf_c"
"G3F0",9,2,"34","Eucalyptus consideniana","A","burnt","light",4.1,249,70.2,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",8,4,"32","Eucalyptus consideniana","A","burnt","medium",4.8,84,94.4,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",8,3,"31","Eucalyptus consideniana","A","burnt","light",5.5,353,66.8,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",8,2,"d14","unknown","D","burnt","deep",4.6,266,10.2,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",8,2,"30","Eucalyptus consideniana","A","burnt","medium",5.6,229,113.8,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",8,1,"29","Eucalyptus denticulata","A","burnt","light",10.7,136,125.1,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",7,4,"28","Eucalyptus consideniana","A","burnt","light",6.3,117,127.2,NA,NA,NA,"canopy","over-mature","present",1,12,"<5cm","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",7,3,"27","Eucalyptus consideniana","A","burnt","light",10.9,35,37.9,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",7,4,"d13","unknown","D","unburnt","",3.5,104,13.5,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",7,2,"d12","unknown","D","burnt","medium",1.2,323,19.5,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
"G3F0",7,2,"26","Eucalyptus consideniana","A","burnt","light",1.6,258,40.9,NA,NA,NA,"canopy","mature","absent",0,NA,"","no","no","no","","","","G3F0",0,0,3,930,40,10,"high",1,70,NA,NA,26.4945774078369,6490,1.62264430522919,32,229,10.0917587280273,30,5.36833333969116,10.4529256820679,7.03527402877808,1,0.529745042324066,0.464498907327652,3,1,148.7730167,-37.2476467,"DKBR",0,1.5,24,27,22,431,10.9,4.72,0.114,4.2,4.8,0.24,281,8.52,0.19,7.59,5.65,1.84,1,0.13,2.6,0.67,11.47,1.7,52.22
